"","Variable","Title","Chromosome","Type","Lower_bound","Upper_bound","Mean","Median","Mode","Ground_truth","Sd"
"1","10^:prob_CN_missegregation","log10(prob_misseg)",NA,"CNA_probability","-5","-3",-3.41667967627072,-3.2404011405724,-3.05208063845108,-3.69897000433602,0.453754131400645
"2","1p","Selection rate - chromosome 1","1","Selection_rate","0.833333333333333","1.2",1.00805535807016,1.00362819079651,0.980593625705952,0.961699084268628,0.104829149938653
"3","2p","Selection rate - chromosome 2","2","Selection_rate","0.833333333333333","1.2",1.02757811549698,1.0290451267235,1.15140443724967,1.08592800450278,0.110223993602416
"4","3p","Selection rate - chromosome 3","3","Selection_rate","0.833333333333333","1.2",0.98685144513197,0.969177553684268,0.866947577424728,1.03025228965562,0.110562759689407
"5","4p","Selection rate - chromosome 4","4","Selection_rate","0.833333333333333","1.2",1.01334002174821,1.0057519358773,0.932480257295697,1.1417012902908,0.105334811637483
"6","5p","Selection rate - chromosome 5","5","Selection_rate","0.833333333333333","1.2",1.0323671673173,1.03205107751807,0.942459008350386,0.913770154441756,0.10606524984196
"7","6p","Selection rate - chromosome 6","6","Selection_rate","0.833333333333333","1.2",1.02059373412216,1.01992776979614,1.02454507254175,0.970029779285792,0.102981164314633
"8","7p","Selection rate - chromosome 7","7","Selection_rate","0.833333333333333","1.2",1.0234399202791,1.03574658635704,1.11579196095228,0.906574401133888,0.111002184092184
"9","8p","Selection rate - chromosome 8","8","Selection_rate","0.833333333333333","1.2",0.99947026014894,0.997900776812556,0.876116870310939,0.896478103563284,0.10622591982384
"10","9p","Selection rate - chromosome 9","9","Selection_rate","0.833333333333333","1.2",0.984436174970911,0.96431800904326,0.861973076317004,1.10764277623966,0.113395255111106
"11","10p","Selection rate - chromosome 10","10","Selection_rate","0.833333333333333","1.2",1.00427158253358,0.999279054779951,0.857818298197736,1.05700527691515,0.1126065089731
"12","11p","Selection rate - chromosome 11","11","Selection_rate","0.833333333333333","1.2",1.01686908740717,1.02725908465797,1.03118074313249,0.877034666415966,0.101851100235217
"13","12p","Selection rate - chromosome 12","12","Selection_rate","0.833333333333333","1.2",1.02440835540537,1.02891344551415,1.16884745923894,0.910953340846325,0.114742300438776
"14","13p","Selection rate - chromosome 13","13","Selection_rate","0.833333333333333","1.2",1.01027112583518,1.0079003599022,0.999667082387131,0.961461636769969,0.104130673245777
"15","14p","Selection rate - chromosome 14","14","Selection_rate","0.833333333333333","1.2",0.995268651480546,0.987109166117492,0.871127365384183,0.997995476212367,0.102641395677067
"16","15p","Selection rate - chromosome 15","15","Selection_rate","0.833333333333333","1.2",1.01863369946839,1.0209112262701,1.17127659954696,0.884600638399784,0.105835565672351
"17","16p","Selection rate - chromosome 16","16","Selection_rate","0.833333333333333","1.2",1.01522980192621,1.02046717354455,0.850384349785638,1.07231201732066,0.111847791101922
"18","17p","Selection rate - chromosome 17","17","Selection_rate","0.833333333333333","1.2",0.987517032153748,0.961982470613739,0.87612124063044,0.931071651988236,0.105528127298762
"19","18p","Selection rate - chromosome 18","18","Selection_rate","0.833333333333333","1.2",1.01563888777352,1.02854350340307,1.06518539374409,1.12410599779105,0.104507051802294
"20","19p","Selection rate - chromosome 19","19","Selection_rate","0.833333333333333","1.2",1.02079692628208,1.03107851150426,1.11994768271732,0.893546466798583,0.108167880185982
"21","20p","Selection rate - chromosome 20","20","Selection_rate","0.833333333333333","1.2",1.01098999168049,1.00660986144221,1.12408265602409,0.902073887970773,0.103191506826483
"22","21p","Selection rate - chromosome 21","21","Selection_rate","0.833333333333333","1.2",1.01062064129462,1.00009772651627,1.13900843145161,1.12314194411738,0.105730567675988
"23","22p","Selection rate - chromosome 22","22","Selection_rate","0.833333333333333","1.2",1.01299689940741,1.01107407654061,0.956553749127431,1.11743991434341,0.10661556527251
