"","Variable","Title","Chromosome","Type","Lower_bound","Upper_bound","Mean","Median","Mode","Ground_truth","Sd"
"1","10^:prob_CN_missegregation","log10(prob_misseg)",NA,"CNA_probability","-5","-3",-3.58936020706002,-3.58163512102062,-3.56791168070685,-3.69897000433602,0.11013733100045
"2","1p","Selection rate - chromosome 1","1","Selection_rate","0.833333333333333","1.2",0.976775228248,0.977716531148842,0.983081966146739,0.961699084268628,0.0210487735308144
"3","2p","Selection rate - chromosome 2","2","Selection_rate","0.833333333333333","1.2",1.09453733090583,1.09403717664807,1.09253438472129,1.08592800450278,0.0169602253608802
"4","3p","Selection rate - chromosome 3","3","Selection_rate","0.833333333333333","1.2",1.03909470056,1.03973490283742,1.03947222509747,1.03025228965562,0.02196453410686
"5","4p","Selection rate - chromosome 4","4","Selection_rate","0.833333333333333","1.2",1.14887933694575,1.1482397926011,1.14813107893747,1.1417012902908,0.021756261528672
"6","5p","Selection rate - chromosome 5","5","Selection_rate","0.833333333333333","1.2",0.903127581133589,0.903000062911386,0.902660887237971,0.913770154441756,0.0143233534860544
"7","6p","Selection rate - chromosome 6","6","Selection_rate","0.833333333333333","1.2",0.956987826313359,0.956570263533824,0.956541243414995,0.970029779285792,0.0193860578033922
"8","7p","Selection rate - chromosome 7","7","Selection_rate","0.833333333333333","1.2",0.889164615356912,0.889028058690704,0.889335796765356,0.906574401133888,0.0161191634843621
"9","8p","Selection rate - chromosome 8","8","Selection_rate","0.833333333333333","1.2",0.88819378468305,0.888481005942496,0.890213274619762,0.896478103563284,0.0158962444714431
"10","9p","Selection rate - chromosome 9","9","Selection_rate","0.833333333333333","1.2",1.1126751881752,1.11145493594866,1.10748982252652,1.10764277623966,0.0181032009420018
"11","10p","Selection rate - chromosome 10","10","Selection_rate","0.833333333333333","1.2",1.05577197262952,1.05639440864981,1.05772908731377,1.05700527691515,0.0157711270681927
"12","11p","Selection rate - chromosome 11","11","Selection_rate","0.833333333333333","1.2",0.873312843587687,0.873569057095149,0.872797731402336,0.877034666415966,0.0164683388002718
"13","12p","Selection rate - chromosome 12","12","Selection_rate","0.833333333333333","1.2",0.904410183278381,0.904476005246006,0.904293168375249,0.910953340846325,0.0159645919830239
"14","13p","Selection rate - chromosome 13","13","Selection_rate","0.833333333333333","1.2",0.962453370945392,0.960943568597476,0.959857123454418,0.961461636769969,0.0206353325681676
"15","14p","Selection rate - chromosome 14","14","Selection_rate","0.833333333333333","1.2",0.997023908978286,0.996053564977977,0.993033209777224,0.997995476212367,0.0219459672942203
"16","15p","Selection rate - chromosome 15","15","Selection_rate","0.833333333333333","1.2",0.87849195643355,0.878973138615619,0.880296841639925,0.884600638399784,0.016201556141649
"17","16p","Selection rate - chromosome 16","16","Selection_rate","0.833333333333333","1.2",1.07790344525827,1.07778402364415,1.0759549553955,1.07231201732066,0.0200659747717749
"18","17p","Selection rate - chromosome 17","17","Selection_rate","0.833333333333333","1.2",0.92678331891947,0.926408404600181,0.925042751058123,0.931071651988236,0.0159245293697918
"19","18p","Selection rate - chromosome 18","18","Selection_rate","0.833333333333333","1.2",1.1409709652287,1.14077163812324,1.13982379011108,1.12410599779105,0.0190652207542304
"20","19p","Selection rate - chromosome 19","19","Selection_rate","0.833333333333333","1.2",0.884120306339317,0.884776269950904,0.886834834892795,0.893546466798583,0.0163977955283108
"21","20p","Selection rate - chromosome 20","20","Selection_rate","0.833333333333333","1.2",0.897549483243465,0.897495414151829,0.896804213117035,0.902073887970773,0.0152709744072374
"22","21p","Selection rate - chromosome 21","21","Selection_rate","0.833333333333333","1.2",1.14194690184503,1.14195370987742,1.14149675051376,1.12314194411738,0.0208233022788936
"23","22p","Selection rate - chromosome 22","22","Selection_rate","0.833333333333333","1.2",1.13636776613242,1.1354375070776,1.13400129884307,1.11743991434341,0.0184546596307447
