"","Variable","Title","Chromosome","Type","Lower_bound","Upper_bound","Mean","Median","Mode","Ground_truth","Sd"
"1","10^:prob_CN_missegregation","log10(prob_misseg)",NA,"CNA_probability","-5","-3",-3.835333238018,-3.84938799906071,-3.82582720183473,-3.69897000433602,0.215476837693095
"2","1p","Selection rate - chromosome 1","1","Selection_rate","0.833333333333333","1.2",1.01439682046819,1.0252144186921,1.12906460533961,0.961699084268628,0.108706144835915
"3","2p","Selection rate - chromosome 2","2","Selection_rate","0.833333333333333","1.2",1.00588911281672,0.987952550456132,0.954065387929179,1.08592800450278,0.105221850341806
"4","3p","Selection rate - chromosome 3","3","Selection_rate","0.833333333333333","1.2",1.04662317852059,1.07189714155636,1.163889038323,1.03025228965562,0.110697503045154
"5","4p","Selection rate - chromosome 4","4","Selection_rate","0.833333333333333","1.2",1.02851262593826,1.02554939747204,0.972292716675717,1.1417012902908,0.101895553982631
"6","5p","Selection rate - chromosome 5","5","Selection_rate","0.833333333333333","1.2",1.01048306534773,1.00804503638972,0.892711356959867,0.913770154441756,0.107647835779756
"7","6p","Selection rate - chromosome 6","6","Selection_rate","0.833333333333333","1.2",1.02417435715861,1.02331847682634,0.969810283244606,0.970029779285792,0.105936388585399
"8","7p","Selection rate - chromosome 7","7","Selection_rate","0.833333333333333","1.2",1.00201520192504,0.990930874284009,0.88601775772965,0.906574401133888,0.108845082658982
"9","8p","Selection rate - chromosome 8","8","Selection_rate","0.833333333333333","1.2",1.02758689772792,1.04259126880061,1.05024892353757,0.896478103563284,0.10465023906648
"10","9p","Selection rate - chromosome 9","9","Selection_rate","0.833333333333333","1.2",1.03372482493665,1.0499074292269,1.11495485872884,1.10764277623966,0.106819642289791
"11","10p","Selection rate - chromosome 10","10","Selection_rate","0.833333333333333","1.2",1.02090072985118,1.01690794082218,1.17883686827203,1.05700527691515,0.111316539254026
"12","11p","Selection rate - chromosome 11","11","Selection_rate","0.833333333333333","1.2",1.01720257809679,1.01317677886342,1.00132844772786,0.877034666415966,0.105426499273504
"13","12p","Selection rate - chromosome 12","12","Selection_rate","0.833333333333333","1.2",1.03185903506014,1.05093200074813,1.10250155557406,0.910953340846325,0.106471742426163
"14","13p","Selection rate - chromosome 13","13","Selection_rate","0.833333333333333","1.2",1.03594372128706,1.06119263657609,1.15393067325139,0.961461636769969,0.112569457615665
"15","14p","Selection rate - chromosome 14","14","Selection_rate","0.833333333333333","1.2",1.00826871945412,0.994751692825214,0.906786898097794,0.997995476212367,0.111320785063015
"16","15p","Selection rate - chromosome 15","15","Selection_rate","0.833333333333333","1.2",1.02265182060914,1.0321344646312,1.11490445271597,0.884600638399784,0.106766169802695
"17","16p","Selection rate - chromosome 16","16","Selection_rate","0.833333333333333","1.2",1.01431844639358,1.0303059013247,1.09502894042869,1.07231201732066,0.111965657193969
"18","17p","Selection rate - chromosome 17","17","Selection_rate","0.833333333333333","1.2",1.04898463722955,1.06111526971689,1.18042961905349,0.931071651988236,0.105818071065054
"19","18p","Selection rate - chromosome 18","18","Selection_rate","0.833333333333333","1.2",1.00770956219045,1.00120064176146,0.857856514946864,1.12410599779105,0.113349949045652
"20","19p","Selection rate - chromosome 19","19","Selection_rate","0.833333333333333","1.2",0.999698993939932,0.980418522833291,0.920847741514879,0.893546466798583,0.115021025990804
"21","20p","Selection rate - chromosome 20","20","Selection_rate","0.833333333333333","1.2",1.01239614350671,1.00990150549775,1.13735438991648,0.902073887970773,0.106231259855216
"22","21p","Selection rate - chromosome 21","21","Selection_rate","0.833333333333333","1.2",1.02353605797758,1.02916529953728,1.1655505014479,1.12314194411738,0.116846176450206
"23","22p","Selection rate - chromosome 22","22","Selection_rate","0.833333333333333","1.2",1.04151708715889,1.05295139715709,1.13068452221287,1.11743991434341,0.105617659947172
