"","Variable","Title","Chromosome","Type","Lower_bound","Upper_bound","Mean","Median","Mode","Ground_truth","Sd"
"1","10^:prob_CN_missegregation","log10(prob_misseg)",NA,"CNA_probability","-5","-3",-3.60733211306345,-3.59971877327275,-3.59053584922684,-3.69897000433602,0.112097881742208
"2","1p","Selection rate - chromosome 1","1","Selection_rate","0.833333333333333","1.2",0.973616953741102,0.973829752499741,0.975616944824376,0.961699084268628,0.019327427847649
"3","2p","Selection rate - chromosome 2","2","Selection_rate","0.833333333333333","1.2",1.09700921750189,1.09743907131388,1.09833847440719,1.08592800450278,0.0166608017430594
"4","3p","Selection rate - chromosome 3","3","Selection_rate","0.833333333333333","1.2",1.03803455779999,1.03974969718476,1.04361945220498,1.03025228965562,0.0209032953246436
"5","4p","Selection rate - chromosome 4","4","Selection_rate","0.833333333333333","1.2",1.14890649827089,1.14833326712177,1.14813107893747,1.1417012902908,0.022292420349563
"6","5p","Selection rate - chromosome 5","5","Selection_rate","0.833333333333333","1.2",0.902392202175626,0.902680348279611,0.903490014761146,0.913770154441756,0.0144795908636804
"7","6p","Selection rate - chromosome 6","6","Selection_rate","0.833333333333333","1.2",0.956770697599811,0.956312993967515,0.955711928425645,0.970029779285792,0.0190557128160387
"8","7p","Selection rate - chromosome 7","7","Selection_rate","0.833333333333333","1.2",0.890627345205281,0.890713284703345,0.891824326042136,0.906574401133888,0.0160343250884575
"9","8p","Selection rate - chromosome 8","8","Selection_rate","0.833333333333333","1.2",0.885652972950456,0.885434863521628,0.885238073099001,0.896478103563284,0.0157891388239461
"10","9p","Selection rate - chromosome 9","9","Selection_rate","0.833333333333333","1.2",1.11333162705093,1.11251763401731,1.11080761639422,1.10764277623966,0.0185395102666573
"11","10p","Selection rate - chromosome 10","10","Selection_rate","0.833333333333333","1.2",1.05518279251406,1.05549382285853,1.05607007661571,1.05700527691515,0.0166190855453499
"12","11p","Selection rate - chromosome 11","11","Selection_rate","0.833333333333333","1.2",0.871745549348028,0.872063975860766,0.87196850097443,0.877034666415966,0.017124590590006
"13","12p","Selection rate - chromosome 12","12","Selection_rate","0.833333333333333","1.2",0.905659960455276,0.905660622372129,0.905122492171059,0.910953340846325,0.0155382099429595
"14","13p","Selection rate - chromosome 13","13","Selection_rate","0.833333333333333","1.2",0.962369433050334,0.961189382920682,0.959027749309986,0.961461636769969,0.0206304155321462
"15","14p","Selection rate - chromosome 14","14","Selection_rate","0.833333333333333","1.2",0.996435792570556,0.996086709799637,0.994691792694136,0.997995476212367,0.0234095433941261
"16","15p","Selection rate - chromosome 15","15","Selection_rate","0.833333333333333","1.2",0.878099656006061,0.878110914310778,0.878638837321366,0.884600638399784,0.0156643830528483
"17","16p","Selection rate - chromosome 16","16","Selection_rate","0.833333333333333","1.2",1.07935477286568,1.0794299160291,1.08010147388098,1.07231201732066,0.0164616895642507
"18","17p","Selection rate - chromosome 17","17","Selection_rate","0.833333333333333","1.2",0.928068748775241,0.927927945584398,0.92753028548665,0.931071651988236,0.0160278698912234
"19","18p","Selection rate - chromosome 18","18","Selection_rate","0.833333333333333","1.2",1.14296093401984,1.14191463502888,1.1389944745959,1.12410599779105,0.0190518377305273
"20","19p","Selection rate - chromosome 19","19","Selection_rate","0.833333333333333","1.2",0.882256558738295,0.882811784791954,0.884346085627764,0.893546466798583,0.0172745609202522
"21","20p","Selection rate - chromosome 20","20","Selection_rate","0.833333333333333","1.2",0.896369782940332,0.896591773183752,0.896804213117035,0.902073887970773,0.0150174121780614
"22","21p","Selection rate - chromosome 21","21","Selection_rate","0.833333333333333","1.2",1.14331556363141,1.14346184072492,1.14398506957591,1.12314194411738,0.0197426150516023
"23","22p","Selection rate - chromosome 22","22","Selection_rate","0.833333333333333","1.2",1.13869641190251,1.13794982011219,1.13731807547327,1.11743991434341,0.0188182366994923
