"","Variable","Title","Chromosome","Type","Lower_bound","Upper_bound","Mean","Median","Mode","Ground_truth","Sd"
"1","10^:prob_CN_missegregation","log10(prob_misseg)",NA,"CNA_probability","-5","-3",-3.58895310743601,-3.57981398928542,-3.56338684700285,-3.69897000433602,0.105877674272933
"2","1p","Selection rate - chromosome 1","1","Selection_rate","0.833333333333333","1.2",0.97724528246686,0.978185010355108,0.981423072519547,0.961699084268628,0.0196908814710728
"3","2p","Selection rate - chromosome 2","2","Selection_rate","0.833333333333333","1.2",1.09570169151119,1.0950188306831,1.09253438472129,1.08592800450278,0.0175593638591703
"4","3p","Selection rate - chromosome 3","3","Selection_rate","0.833333333333333","1.2",1.03722072684693,1.03839438744832,1.04030167051897,1.03025228965562,0.0207766551576805
"5","4p","Selection rate - chromosome 4","4","Selection_rate","0.833333333333333","1.2",1.14750333210164,1.14732442871176,1.14813107893747,1.1417012902908,0.0212272210332619
"6","5p","Selection rate - chromosome 5","5","Selection_rate","0.833333333333333","1.2",0.902298491999972,0.902370230756757,0.902660887237971,0.913770154441756,0.014887599970527
"7","6p","Selection rate - chromosome 6","6","Selection_rate","0.833333333333333","1.2",0.958143106181579,0.957994515605957,0.959029188383048,0.970029779285792,0.0188404396579345
"8","7p","Selection rate - chromosome 7","7","Selection_rate","0.833333333333333","1.2",0.890137842274421,0.890025005410872,0.890165306524283,0.906574401133888,0.0153257397767009
"9","8p","Selection rate - chromosome 8","8","Selection_rate","0.833333333333333","1.2",0.88705774886608,0.887417851062985,0.889384074366301,0.896478103563284,0.0164820852620841
"10","9p","Selection rate - chromosome 9","9","Selection_rate","0.833333333333333","1.2",1.11251229174495,1.1118468735808,1.10748982252652,1.10764277623966,0.0207058379347424
"11","10p","Selection rate - chromosome 10","10","Selection_rate","0.833333333333333","1.2",1.05576178786031,1.05626714871049,1.05689958196474,1.05700527691515,0.0160724338109407
"12","11p","Selection rate - chromosome 11","11","Selection_rate","0.833333333333333","1.2",0.873031573434767,0.873965862609777,0.875285422686056,0.877034666415966,0.0175866398019127
"13","12p","Selection rate - chromosome 12","12","Selection_rate","0.833333333333333","1.2",0.904921103787204,0.904951059564282,0.905122492171059,0.910953340846325,0.0159494958165687
"14","13p","Selection rate - chromosome 13","13","Selection_rate","0.833333333333333","1.2",0.962406284768659,0.960668437250826,0.959027749309986,0.961461636769969,0.0213432779426632
"15","14p","Selection rate - chromosome 14","14","Selection_rate","0.833333333333333","1.2",0.996625105689918,0.995539040101545,0.991374626860312,0.997995476212367,0.0223408771417452
"16","15p","Selection rate - chromosome 15","15","Selection_rate","0.833333333333333","1.2",0.878118026777393,0.878637056473299,0.880296841639925,0.884600638399784,0.0162501490107514
"17","16p","Selection rate - chromosome 16","16","Selection_rate","0.833333333333333","1.2",1.07835294937752,1.07751692673672,1.07512565169841,1.07231201732066,0.0170427510941387
"18","17p","Selection rate - chromosome 17","17","Selection_rate","0.833333333333333","1.2",0.926549526499349,0.926249889429716,0.925042751058123,0.931071651988236,0.0159927137842223
"19","18p","Selection rate - chromosome 18","18","Selection_rate","0.833333333333333","1.2",1.14082806904424,1.14037882285417,1.1389944745959,1.12410599779105,0.0186797207816925
"20","19p","Selection rate - chromosome 19","19","Selection_rate","0.833333333333333","1.2",0.883457032493555,0.884303750384692,0.886834834892795,0.893546466798583,0.0171314467300705
"21","20p","Selection rate - chromosome 20","20","Selection_rate","0.833333333333333","1.2",0.897538412263168,0.897658967794295,0.897633696485309,0.902073887970773,0.0159832573684695
"22","21p","Selection rate - chromosome 21","21","Selection_rate","0.833333333333333","1.2",1.14201690483605,1.14214425471351,1.14149675051376,1.12314194411738,0.0197157200205397
"23","22p","Selection rate - chromosome 22","22","Selection_rate","0.833333333333333","1.2",1.1358713638327,1.13498012688782,1.13400129884307,1.11743991434341,0.0177469152922465
