"","Variable","Title","Chromosome","Type","Lower_bound","Upper_bound","Mean","Median","Mode","Ground_truth","Sd"
"1","10^:prob_CN_missegregation","log10(prob_misseg)",NA,"CNA_probability","-5","-3",-3.7748784369451,-3.75516354147405,-3.56095121903016,-3.69897000433602,0.246086384471435
"2","1p","Sel. rate(chrom 1)","1","Arm_selection_rate","0.833333333333333","1.2",0.957145433634828,0.954010085930162,0.946091442134137,0.974135849293528,0.0304920230232249
"3","2p","Sel. rate(chrom 2)","2","Arm_selection_rate","0.833333333333333","1.2",1.08704243239617,1.08732995146252,1.08739958426138,1.05728533633519,0.0258167255344216
"4","3p","Sel. rate(chrom 3)","3","Arm_selection_rate","0.833333333333333","1.2",1.05126960572863,1.05130052927991,1.04952626656947,1.02016819310375,0.0248146704226698
"5","4p","Sel. rate(chrom 4)","4","Arm_selection_rate","0.833333333333333","1.2",1.14133012795015,1.14223275766996,1.14674783208499,1.09446752686054,0.0302416374195873
"6","5p","Sel. rate(chrom 5)","5","Arm_selection_rate","0.833333333333333","1.2",0.909583364781267,0.909652678572339,0.909220359086439,0.940812184223388,0.024820478551471
"7","6p","Sel. rate(chrom 6)","6","Arm_selection_rate","0.833333333333333","1.2",0.984456496076248,0.984140554260389,0.986500889777679,0.979818235545493,0.0284666719194065
"8","7p","Sel. rate(chrom 7)","7","Arm_selection_rate","0.833333333333333","1.2",0.918066157158639,0.917725176361709,0.903888687049685,0.93571429045156,0.0340302215688847
"9","8p","Sel. rate(chrom 8)","8","Arm_selection_rate","0.833333333333333","1.2",0.894807231862737,0.895850366320801,0.89811340165118,0.928518778505964,0.0240007987295413
"10","9p","Sel. rate(chrom 9)","9","Arm_selection_rate","0.833333333333333","1.2",1.10735216001165,1.10462124904142,1.10076380556515,1.07176185082644,0.0279342521147002
"11","10p","Sel. rate(chrom 10)","10","Arm_selection_rate","0.833333333333333","1.2",1.04904268220026,1.05287706422214,1.05679365844206,1.03800351794343,0.0296103184996876
"12","11p","Sel. rate(chrom 11)","11","Arm_selection_rate","0.833333333333333","1.2",0.884602369375505,0.882159734255392,0.887355040762808,0.914519393861029,0.0424199883941038
"13","12p","Sel. rate(chrom 12)","12","Arm_selection_rate","0.833333333333333","1.2",0.902423302545345,0.901926838149832,0.901881278463345,0.938819590198044,0.0255984075336044
"14","13p","Sel. rate(chrom 13)","13","Arm_selection_rate","0.833333333333333","1.2",0.971839998247346,0.97093008212712,0.972040691830889,0.973973417212951,0.0293496475551209
"15","14p","Sel. rate(chrom 14)","14","Arm_selection_rate","0.833333333333333","1.2",0.98748716940978,0.984832221108744,0.979331239697939,0.998662757296642,0.029232934723337
"16","15p","Sel. rate(chrom 15)","15","Arm_selection_rate","0.833333333333333","1.2",0.890606559726932,0.889416349234241,0.891850029797615,0.919989366941114,0.0325203421498838
"17","16p","Sel. rate(chrom 16)","16","Arm_selection_rate","0.833333333333333","1.2",1.07811792134574,1.07708342584845,1.07486752013307,1.0482080115471,0.0230331414816082
"18","17p","Sel. rate(chrom 17)","17","Arm_selection_rate","0.833333333333333","1.2",0.929028990665431,0.929596936526857,0.929733019110708,0.952967135440031,0.0269000400570199
"19","18p","Sel. rate(chrom 18)","18","Arm_selection_rate","0.833333333333333","1.2",1.12833491693547,1.12957257658224,1.13134822824009,1.0827373318607,0.0310458778930063
"20","19p","Sel. rate(chrom 19)","19","Arm_selection_rate","0.833333333333333","1.2",0.892812686172504,0.891907878122771,0.892038607420338,0.926420028554649,0.0297229304260342
"21","20p","Sel. rate(chrom 20)","20","Arm_selection_rate","0.833333333333333","1.2",0.899304049711748,0.900102293762252,0.903579749590186,0.932513012549312,0.0282093041783821
"22","21p","Sel. rate(chrom 21)","21","Arm_selection_rate","0.833333333333333","1.2",1.11940469853864,1.12057344062045,1.11794908111096,1.08209462941159,0.0381481332399543
"23","22p","Sel. rate(chrom 22)","22","Arm_selection_rate","0.833333333333333","1.2",1.13594001895316,1.13535640500617,1.13426163734572,1.07829327622894,0.0293025354294899
