"","Variable","Title","Chromosome","Type","Lower_bound","Upper_bound","Mean","Median","Mode","Ground_truth","Sd"
"1","10^:prob_CN_missegregation","log10(prob_misseg)",NA,"CNA_probability","-5","-3",-3.79492312293052,-3.77806429213406,-3.58055749248097,-3.69897000433602,0.251968301805938
"2","1p","Sel. rate(chrom 1)","1","Arm_selection_rate","0.833333333333333","1.2",0.965439395649689,0.964749995198983,0.962278617963549,0.974135849293528,0.0247902732015452
"3","2p","Sel. rate(chrom 2)","2","Arm_selection_rate","0.833333333333333","1.2",1.08412959638038,1.08420015545414,1.08469600018769,1.05728533633519,0.0212984898664583
"4","3p","Sel. rate(chrom 3)","3","Arm_selection_rate","0.833333333333333","1.2",1.04068482105067,1.04166141492135,1.04412215120931,1.02016819310375,0.0231176848225896
"5","4p","Sel. rate(chrom 4)","4","Arm_selection_rate","0.833333333333333","1.2",1.14046074659698,1.14039114877901,1.13954800987884,1.09446752686054,0.0278940289040519
"6","5p","Sel. rate(chrom 5)","5","Arm_selection_rate","0.833333333333333","1.2",0.906287377490012,0.905641007319938,0.903823804030348,0.940812184223388,0.0200646706940046
"7","6p","Sel. rate(chrom 6)","6","Arm_selection_rate","0.833333333333333","1.2",0.989301899571195,0.988744334931696,0.987399798437244,0.979818235545493,0.0265677578849518
"8","7p","Sel. rate(chrom 7)","7","Arm_selection_rate","0.833333333333333","1.2",0.908778266889568,0.906994509610104,0.903888687049685,0.93571429045156,0.0247926056069665
"9","8p","Sel. rate(chrom 8)","8","Arm_selection_rate","0.833333333333333","1.2",0.900049960245319,0.899629999684896,0.899916046301256,0.928518778505964,0.0232756932576783
"10","9p","Sel. rate(chrom 9)","9","Arm_selection_rate","0.833333333333333","1.2",1.10050059586126,1.10072166910677,1.10076380556515,1.07176185082644,0.0220084142655404
"11","10p","Sel. rate(chrom 10)","10","Arm_selection_rate","0.833333333333333","1.2",1.04785051170649,1.04975709200476,1.05138720131715,1.03800351794343,0.0254116760856338
"12","11p","Sel. rate(chrom 11)","11","Arm_selection_rate","0.833333333333333","1.2",0.888190925433256,0.884339558169763,0.882849204952737,0.914519393861029,0.0380462130929917
"13","12p","Sel. rate(chrom 12)","12","Arm_selection_rate","0.833333333333333","1.2",0.905745079088998,0.905378833579625,0.90458189655288,0.938819590198044,0.0192745196708145
"14","13p","Sel. rate(chrom 13)","13","Arm_selection_rate","0.833333333333333","1.2",0.984253636152104,0.983822482327353,0.981957510274046,0.973973417212951,0.0261765269326176
"15","14p","Sel. rate(chrom 14)","14","Arm_selection_rate","0.833333333333333","1.2",0.992325035637796,0.991149209881964,0.986525975145694,0.998662757296642,0.026559695674413
"16","15p","Sel. rate(chrom 15)","15","Arm_selection_rate","0.833333333333333","1.2",0.896362863775981,0.895106793953339,0.893652171184146,0.919989366941114,0.0274332550033343
"17","16p","Sel. rate(chrom 16)","16","Arm_selection_rate","0.833333333333333","1.2",1.076533245913,1.07659133356065,1.07667224460955,1.0482080115471,0.021236073743666
"18","17p","Sel. rate(chrom 17)","17","Arm_selection_rate","0.833333333333333","1.2",0.936954015531181,0.936780956791539,0.936939946559865,0.952967135440031,0.0201291117303819
"19","18p","Sel. rate(chrom 18)","18","Arm_selection_rate","0.833333333333333","1.2",1.12589134800056,1.12687096783039,1.12775071613398,1.0827373318607,0.0273163385846685
"20","19p","Sel. rate(chrom 19)","19","Arm_selection_rate","0.833333333333333","1.2",0.892414722433461,0.891238453370925,0.890239035862577,0.926420028554649,0.0272229260542741
"21","20p","Sel. rate(chrom 20)","20","Arm_selection_rate","0.833333333333333","1.2",0.899138609983204,0.89867527189655,0.898173341777721,0.932513012549312,0.0225763096807246
"22","21p","Sel. rate(chrom 21)","21","Arm_selection_rate","0.833333333333333","1.2",1.11972463381787,1.12511116565957,1.12605092967225,1.08209462941159,0.0463761760172881
"23","22p","Sel. rate(chrom 22)","22","Arm_selection_rate","0.833333333333333","1.2",1.12569291479654,1.12576213446431,1.12615201519559,1.07829327622894,0.0216777533130861
