"","Variable","Title","Chromosome","Type","Lower_bound","Upper_bound","Mean","Median","Mode","Ground_truth","Sd"
"1","10^:prob_CN_missegregation","log10(prob_misseg)",NA,"CNA_probability","-5","-3",-3.73676677602295,-3.73604768624367,-3.7337058018039,-3.69897000433602,0.125850139029512
"2","1p","Sel. rate(chrom 1)","1","Arm_selection_rate","0.833333333333333","1.2",0.938229181340673,0.935447726316024,0.932406364542803,0.949575875736256,0.0321561095789893
"3","2p","Sel. rate(chrom 2)","2","Arm_selection_rate","0.833333333333333","1.2",0.983942128967994,0.982769573979085,0.980702805917493,0.964342052401732,0.0272784308961514
"4","3p","Sel. rate(chrom 3)","3","Arm_selection_rate","0.833333333333333","1.2",0.975952503724649,0.974636035066302,0.972584654398161,0.967484486050762,0.0253360020130092
"5","4p","Sel. rate(chrom 4)","4","Arm_selection_rate","0.833333333333333","1.2",1.11482395260207,1.11451670895486,1.11375623540094,1.11716006100178,0.0249773605036161
"6","5p","Sel. rate(chrom 5)","5","Arm_selection_rate","0.833333333333333","1.2",0.950885342897756,0.949933953733672,0.94847656920192,0.961498808481501,0.025139946358333
"7","6p","Sel. rate(chrom 6)","6","Arm_selection_rate","0.833333333333333","1.2",1.13240438726462,1.13267110973146,1.13247414242851,1.12125365952961,0.0284725978953549
"8","7p","Sel. rate(chrom 7)","7","Arm_selection_rate","0.833333333333333","1.2",1.18018141882101,1.18081376575544,1.18207414707751,1.19778185957111,0.0224951360912865
"9","8p","Sel. rate(chrom 8)","8","Arm_selection_rate","0.833333333333333","1.2",0.919196317889702,0.91938093864535,0.91866852728646,0.914696294146622,0.0262984755272502
"10","9p","Sel. rate(chrom 9)","9","Arm_selection_rate","0.833333333333333","1.2",0.980509748472077,0.979182418293634,0.972587547514049,0.957560644636561,0.0321995327953194
"11","10p","Sel. rate(chrom 10)","10","Arm_selection_rate","0.833333333333333","1.2",1.09582702404597,1.0951532912732,1.09403376593017,1.10149564063177,0.0237177605712819
"12","11p","Sel. rate(chrom 11)","11","Arm_selection_rate","0.833333333333333","1.2",0.951074921943929,0.950039476483402,0.948338011005327,0.947463204314455,0.0231785070723831
"13","12p","Sel. rate(chrom 12)","12","Arm_selection_rate","0.833333333333333","1.2",0.986247045742936,0.985209504093772,0.983675988342339,0.986317621302511,0.0281154218071502
"14","13p","Sel. rate(chrom 13)","13","Arm_selection_rate","0.833333333333333","1.2",1.15109469373573,1.15096970282276,1.14922089083031,1.1420644893311,0.0291073927699792
"15","14p","Sel. rate(chrom 14)","14","Arm_selection_rate","0.833333333333333","1.2",0.95868624733842,0.957447439483488,0.954931533370761,0.95164977157229,0.0266709552767131
"16","15p","Sel. rate(chrom 15)","15","Arm_selection_rate","0.833333333333333","1.2",1.11829024888716,1.11796392501712,1.11756136095653,1.12042280882597,0.0242348549486314
"17","16p","Sel. rate(chrom 16)","16","Arm_selection_rate","0.833333333333333","1.2",1.1558275418447,1.15608032390713,1.15478155491212,1.13662201133557,0.0298351415163212
"18","17p","Sel. rate(chrom 17)","17","Arm_selection_rate","0.833333333333333","1.2",0.974216966066072,0.974357922128719,0.975201036874384,0.96992254038622,0.0261945706825509
"19","18p","Sel. rate(chrom 18)","18","Arm_selection_rate","0.833333333333333","1.2",1.17005278175452,1.17067149498524,1.1718655334608,1.16457926295698,0.0241497494193385
"20","19p","Sel. rate(chrom 19)","19","Arm_selection_rate","0.833333333333333","1.2",0.97968077726553,0.977094837764914,0.972406535779023,0.977110104725914,0.0322904251835146
"21","20p","Sel. rate(chrom 20)","20","Arm_selection_rate","0.833333333333333","1.2",1.17876767344956,1.18002700286196,1.18350153673919,1.17550427773967,0.0241522317671244
"22","21p","Sel. rate(chrom 21)","21","Arm_selection_rate","0.833333333333333","1.2",1.16375663819303,1.16392603032013,1.16312622680803,1.15722298542969,0.027788476965582
"23","22p","Sel. rate(chrom 22)","22","Arm_selection_rate","0.833333333333333","1.2",0.943946725732858,0.942653068165844,0.940903070359781,0.942635566572404,0.0251597041880785
